Loci,Epistasis,Polymorphism,Shannon Diversity,Nucleotide Diversity,Slope,Invasion Genotypes: Pareto,Invasion Genotypes: Interp
9,1,False,0.0003193373030948171,2.7789933403983054e-05,42222.2611422078,0.0,0.0
9,1,True,0.6902241545207459,0.24853991149036325,37560.16176693669,2.0,0.0
9,1,True,0.6219680725607066,0.21526322593915712,31798.523277514392,2.0,0.0
9,1,True,0.6896275273075012,0.2482416725694186,64952.52447875496,1.0,0.0
9,1,False,7.727320678624371e-16,2.0099232210922644e-17,30420.43243763706,0.0,0.0
9,1,True,0.2559505121706449,0.06586935228879692,51058.00689086314,2.0,1.0
9,1,True,0.5774548027668297,0.19442111605489956,32241.248606532066,4.0,1.0
9,1,False,6.590766745913986e-13,1.998912912758261e-14,24947.129628881972,0.0,0.0
9,1,True,0.5936140631516097,0.201907900239498,49053.92593267055,1.0,0.0
9,1,False,2.652399150635143e-18,5.992573410378329e-20,41586.79653843564,0.0,0.0
9,1,False,9.719696134261461e-06,6.202091862745972e-07,24600.304337784943,0.0,0.0
9,1,False,4.162936616176705e-05,3.0312424689096835e-06,46256.98470295572,0.0,0.0
9,1,False,1.0036464799707213e-09,4.012479919562484e-11,39308.352275054545,0.0,0.0
9,1,True,0.6912490959321638,0.24905144606488375,26932.286136543982,1.0,0.0
9,1,True,0.6271993044759471,0.21775746856689282,26710.96543806405,1.0,18.0
9,1,False,9.898744993203058e-09,4.2765503916544123e-10,15534.594141922049,0.0,3.0
9,1,False,1.2314840743335656e-18,2.7338369448169114e-20,35984.97064639276,0.0,0.0
9,1,False,4.961387689791025e-10,1.9296817351933774e-11,33186.746401905126,0.0,1.0
9,1,False,2.2947108723806268e-24,3.9225511619466693e-26,56715.63993366751,0.0,0.0
9,1,True,0.6770870848427899,0.24200578442091242,8572.838621108718,4.0,0.0
9,1,False,0.002104643890395427,0.0004185786050021661,18756.047391931163,1.0,0.0
9,1,False,0.013708371169277856,0.0018812743220271166,52998.89528710923,1.0,0.0
9,1,False,1.8291863952488248e-09,7.316666047270688e-11,22961.16541379672,0.0,0.0
9,1,False,1.2200609312943333e-05,8.120929005905764e-07,57726.04724483921,0.0,0.0
9,1,False,1.8015634031914374e-06,1.0557798026218065e-07,26554.89623719201,0.0,1.0
9,1,False,7.055661432942113e-06,4.5200341464570107e-07,29077.73358307731,0.0,1.0
9,1,False,2.050151094769786e-06,1.2111417268002978e-07,28032.256675073306,0.0,0.0
9,1,False,1.0986040290740894e-05,6.994887512776304e-07,44633.37713749145,0.0,1.0
9,1,False,0.06328091091884112,0.011474299634430479,32941.948581436445,0.0,0.0
9,1,False,0.00016023029276067066,1.2961724172792841e-05,34584.216730806584,0.0,1.0
9,1,False,3.0443498092315768e-05,2.095619000445843e-06,35038.456309393776,0.0,0.0
9,1,False,8.615768714512566e-12,2.884021075160116e-13,32401.356965114668,0.0,0.0
9,1,True,0.6134824546920036,0.42247436945699696,44087.55002745284,1.0,0.0
9,1,False,3.1328303821546477e-13,9.366541521638019e-15,24896.383934198613,0.0,0.0
9,1,False,1.890602318568383e-07,9.720822283237239e-09,30639.41007536884,0.0,1.0
9,1,False,0.0017906776180497933,0.0001867798632069812,25311.706976407804,0.0,0.0
9,1,False,0.0007631161959655358,0.00014479628195716694,38603.46196851329,0.0,0.0
9,1,False,8.69150282663218e-06,5.648720134847091e-07,41628.52011940073,0.0,0.0
9,1,False,2.313433932102686e-09,9.613150412181677e-11,33252.37409202955,0.0,1.0
9,1,False,9.65528769952823e-22,1.8280535749266142e-23,53268.96547655122,0.0,1.0
9,1,False,6.224129774020244e-08,3.0187211031647864e-09,37538.60863396326,0.0,1.0
9,1,False,1.9614832229072956e-06,1.1556176130349142e-07,37659.71630791758,0.0,0.0
9,1,True,0.33507295848609503,0.09365836891576185,37739.59565472126,2.0,0.0
9,1,True,0.5934613698516165,0.20183673331772378,41896.22153128904,1.0,1.0
9,1,False,2.951323916922204e-09,1.2275639548225355e-10,46712.802304575525,0.0,1.0
9,1,False,1.5671829005069196e-08,7.10244101830506e-10,17044.084802521957,0.0,0.0
9,1,False,7.225904009174376e-08,3.491768166603713e-09,23027.681705155603,0.0,1.0
9,1,False,9.453178395569662e-16,7.41641692111194e-17,34258.43261189784,1.0,0.0
9,1,False,4.03485984549213e-05,2.936970863338321e-06,49305.282705297,0.0,0.0
9,1,False,1.597055445348404e-07,7.84209311226831e-09,19319.06930712902,0.0,0.0
9,1,False,9.380931610464054e-09,4.138330496919054e-10,34807.40819584677,0.0,1.0
9,1,False,0.044155758506687806,0.007441242307729005,45650.0297123868,0.0,0.0
9,1,True,0.6913221959304229,0.4981756502274092,27851.14818864123,1.0,2.0
9,1,False,2.928034457757934e-06,1.7694817480599327e-07,38924.936582721006,0.0,0.0
