Polymorphism,PIPMin: Pareto,PIPMin: Polynomial,PIPMin: Linear,Shannon Diversity,Nucleotide Diversity,Slope
False,0.0,16.0,0.0,9.584982693674429e-13,2.981766026582146e-14,0.5101343494999153
True,1.0,427.0,271.0,0.4604169538999964,0.5719589783132136,0.20816048045619392
False,0.0,0.0,0.0,1.0791747485149039e-12,3.369418704024205e-14,0.37314589082886707
True,2.0,0.0,57.0,0.3253631585595438,0.44953043143268895,-0.022424183467719443
False,0.0,0.0,0.0,1.748816412477031e-15,4.650238043772243e-17,0.9330268213222932
True,1.0,1.0,28.0,0.07627103515684971,0.05755483997747963,1.3059455500902917
False,0.0,0.0,0.0,1.90630906843011e-07,9.80597852403125e-09,0.5940406027682856
True,2.0,26.0,166.0,1.0644937615099654,0.3986917725983327,0.6935036620653935
False,0.0,0.0,0.0,6.6017889958899675e-22,1.2518845433837812e-23,0.9498160984978804
False,0.0,0.0,0.0,2.6573328054188984e-17,6.32765592233552e-19,1.00209060073993
False,0.0,0.0,0.0,3.693863577614724e-19,7.982056583898577e-21,0.6045061958254566
False,0.0,0.0,0.0,2.5020192614705087e-24,4.283192722389168e-26,0.7666237971323214
False,0.0,0.0,0.0,1.0946754284685078e-36,1.2543313504445963e-38,0.818503579553794
False,0.0,1.0,0.0,0.00037006094144397537,3.266325033911174e-05,1.398096660723642
False,0.0,0.0,0.0,4.414724286673011e-27,6.806854665607269e-29,1.1425904926955395
False,0.0,0.0,0.0,2.848913773844766e-16,7.163944153428708e-18,0.07009397334974327
False,0.0,0.0,0.0,1.5051843741463146e-22,2.7749730318685412e-24,0.08627480995626777
False,0.0,0.0,0.0,2.855138471689374e-12,9.205300751551342e-14,0.4562072564825079
True,2.0,0.0,30.0,0.17150175574537543,0.13286673253728098,0.37384404525489584
False,0.0,1.0,0.0,1.6169879589399762e-19,3.43081035142613e-21,0.9636889637656917
False,0.0,1.0,0.0,1.3651650253062195e-12,4.295800161024285e-14,0.7385996502935818
True,3.0,0.0,131.0,0.4494026713725721,0.2768185005481654,1.3617467418189242
False,0.0,0.0,0.0,1.2089957145368613e-33,1.507855934211603e-35,0.6493377633684057
False,0.0,1.0,0.0,6.540937467306494e-05,4.949122390404187e-06,0.89116902671618
True,1.0,2.0,134.0,0.6575607018449366,0.6053828747149628,0.39594789483514936
True,2.0,0.0,63.0,0.2501923707806577,0.25582750060631304,0.3609757624386448
False,0.0,0.0,0.0,2.270341896419056e-15,6.080369308950166e-17,0.7111828908229476
False,0.0,1.0,0.0,8.661905545514337e-12,2.8999768926885976e-13,0.8599681705029599
False,0.0,0.0,0.0,1.5945041117482003e-25,2.6048704714752983e-27,0.8028807823211983
True,1.0,1.0,126.0,0.6745808053883899,0.4815488158911415,0.0989813852264171
True,2.0,2.0,18.0,0.07601675345979521,0.014343878642297692,0.5760629584084607
